date,Active_Power,Temperature,Weather
2022-01-01 00:00:00,-0.6665702269871597,-1.011419611566233,0.7181446200563062
2022-01-01 01:00:00,-0.6665702269871597,-1.011419611566233,0.7181446200563062
2022-01-01 02:00:00,-0.6665702269871597,-1.011419611566233,0.7181446200563062
2022-01-01 03:00:00,-0.6665702269871597,-1.011419611566233,0.7181446200563062
2022-01-01 04:00:00,-0.6665702269871597,-1.011419611566233,0.7181446200563062
2022-01-01 05:00:00,-0.6665702269871597,-1.011419611566233,0.7181446200563062
2022-01-01 06:00:00,-0.6357173643475628,-1.011419611566233,0.7181446200563062
2022-01-01 07:00:00,-0.23448155419461664,-1.011419611566233,0.7181446200563062
2022-01-01 08:00:00,0.7552384191017946,-1.011419611566233,0.7181446200563062
2022-01-01 09:00:00,-0.01834043498268417,-0.7336254574865216,0.7181446200563062
2022-01-01 10:00:00,1.1009446814342052,-0.7336254574865216,0.7181446200563062
2022-01-01 11:00:00,0.39238986714701823,-0.7336254574865216,0.7181446200563062
2022-01-01 12:00:00,0.5930444323809386,-0.45583130340681016,0.7181446200563062
2022-01-01 13:00:00,0.5645443371792941,-0.45583130340681016,0.7181446200563062
2022-01-01 14:00:00,0.32490715279025933,-0.45583130340681016,0.7181446200563062
2022-01-01 15:00:00,-0.2228050496465961,-0.45583130340681016,0.7181446200563062
2022-01-01 16:00:00,-0.4747382137774945,-0.45583130340681016,0.7181446200563062
2022-01-01 17:00:00,-0.6415021742587166,-0.45583130340681016,0.7181446200563062
2022-01-01 18:00:00,-0.6665702269871597,-0.7336254574865216,0.7181446200563062
2022-01-01 19:00:00,-0.6665702269871597,-0.7336254574865216,0.7181446200563062
2022-01-01 20:00:00,-0.6665702269871597,-0.7336254574865216,0.7181446200563062
2022-01-01 21:00:00,-0.6665702269871597,-1.011419611566233,0.7181446200563062
2022-01-01 22:00:00,-0.6665702269871597,-1.011419611566233,0.7181446200563062
2022-01-01 23:00:00,-0.6665702269871597,-1.011419611566233,0.7181446200563062
2022-01-02 00:00:00,-0.6665702269871597,-1.011419611566233,1.3111709650192702
2022-01-02 01:00:00,-0.6665702269871597,-1.011419611566233,1.3111709650192702
2022-01-02 02:00:00,-0.6665702269871597,-1.011419611566233,1.3111709650192702
2022-01-02 03:00:00,-0.6665702269871597,-1.011419611566233,1.3111709650192702
2022-01-02 04:00:00,-0.6665702269871597,-1.011419611566233,1.3111709650192702
2022-01-02 05:00:00,-0.6665702269871597,-1.011419611566233,1.3111709650192702
2022-01-02 06:00:00,-0.6514330035761123,-1.011419611566233,1.3111709650192702
2022-01-02 07:00:00,-0.47755892775850767,-1.011419611566233,1.3111709650192702
2022-01-02 08:00:00,-0.31416542068597536,-1.011419611566233,1.3111709650192702
2022-01-02 09:00:00,-0.09577418247694304,-0.7336254574865216,1.3111709650192702
2022-01-02 10:00:00,-0.10216641046349056,-0.7336254574865216,1.3111709650192702
2022-01-02 11:00:00,-0.12115180986827466,-0.7336254574865216,1.3111709650192702
2022-01-02 12:00:00,-0.0973517097854094,-0.7336254574865216,1.3111709650192702
2022-01-02 13:00:00,-0.11278449553249877,-0.7336254574865216,1.3111709650192702
2022-01-02 14:00:00,-0.3091525922236456,-0.7336254574865216,1.3111709650192702
2022-01-02 15:00:00,-0.5034859687094497,-1.011419611566233,1.3111709650192702
2022-01-02 16:00:00,-0.6112088270887822,-1.011419611566233,1.3111709650192702
2022-01-02 17:00:00,-0.6518673857083548,-1.011419611566233,1.3111709650192702
2022-01-02 18:00:00,-0.6665702269871597,-1.011419611566233,1.3111709650192702
2022-01-02 19:00:00,-0.6665702269871597,-1.011419611566233,1.3111709650192702
2022-01-02 20:00:00,-0.6665702269871597,-1.011419611566233,1.3111709650192702
2022-01-02 21:00:00,-0.6665702269871597,-1.011419611566233,1.3111709650192702
2022-01-02 22:00:00,-0.6665702269871597,-1.011419611566233,1.3111709650192702
2022-01-02 23:00:00,-0.6665702269871597,-1.011419611566233,1.3111709650192702
2022-01-03 00:00:00,-0.6665702269871597,-1.2892137656459446,-0.4679080698696219
2022-01-03 01:00:00,-0.6665702269871597,-1.2892137656459446,-0.4679080698696219
2022-01-03 02:00:00,-0.6665702269871597,-1.2892137656459446,-0.4679080698696219
2022-01-03 03:00:00,-0.6665702269871597,-1.2892137656459446,-0.4679080698696219
2022-01-03 04:00:00,-0.6665702269871597,-1.2892137656459446,-0.4679080698696219
2022-01-03 05:00:00,-0.6665702269871597,-1.2892137656459446,-0.4679080698696219
2022-01-03 06:00:00,-0.6190224915800872,-1.2892137656459446,-0.4679080698696219
2022-01-03 07:00:00,-0.21079713727525182,-1.2892137656459446,-0.4679080698696219
2022-01-03 08:00:00,0.19067720830215157,-1.2892137656459446,-0.4679080698696219
2022-01-03 09:00:00,0.34298468376261476,-0.7336254574865216,-0.4679080698696219
2022-01-03 10:00:00,0.8423546844470061,-0.7336254574865216,-0.4679080698696219
2022-01-03 11:00:00,0.5789095791415174,-0.7336254574865216,-0.4679080698696219
2022-01-03 12:00:00,0.9570318932270783,-0.45583130340681016,-0.4679080698696219
2022-01-03 13:00:00,1.0396410773487,-0.45583130340681016,-0.4679080698696219
2022-01-03 14:00:00,0.1896836365683127,-0.45583130340681016,-0.4679080698696219
2022-01-03 15:00:00,0.12264149583705417,-0.7336254574865216,-0.4679080698696219
2022-01-03 16:00:00,-0.30828285035496206,-0.7336254574865216,-0.4679080698696219
2022-01-03 17:00:00,-0.6512980941967063,-0.7336254574865216,-0.4679080698696219
